description,amount,category
UBER,25.50,Travel
UBER TRIP,35.20,Travel
UBER RIDE,22.30,Travel
BRITISH GAS,89.99,Utilities
BRITISH GAS - ELECT,75.50,Utilities
OCTOPUS ENERGY,65.25,Utilities
WATER PLUS LTD,45.00,Utilities
VODAFONE BILL,35.99,Utilities
PAYROLL TRANSFER,2500.00,Payroll
SALARY PAYMENT,3000.00,Payroll
HMRC PAYE,580.25,Payroll
GOOGLE ADS,250.00,Marketing
FACEBOOK ADS,180.00,Marketing
LINKEDIN ADS,150.00,Marketing
MAILCHIMP,29.99,Marketing
AMZN UK,45.99,Office Supplies
AMZN UK PRIME,7.99,Software & IT
AMZN MKTPLACE,129.99,Marketing
AMZN UK OFFICE,89.99,Office Supplies
BRGAS HOME INSUR,12.99,Insurance
BRGAS GAS BILL,89.75,Utilities
GOOGLE CLOUD,150.00,Software & IT
GOOGLE WORKSPACE,12.00,Software & IT
FB MKTG TOOLS,125.75,Marketing
FB BOOST POST,50.00,Marketing
MICROSOFT 365,9.99,Software & IT
MSFT AZURE,299.99,Software & IT
DIGITAL OCEAN 9HG7Y5R4E,20.00,Software & IT
AWS EC2 INSTANCES 8FG,125.75,Software & IT
STRIPE SAAS PLATFORM,199.99,Software & IT
AMZN AWS LAMBDA 7YT,45.50,Software & IT
GITHUB ENTERPRISE 98767,7.00,Software & IT
SLACK ENTERPRISE GRID,8.00,Software & IT
ZOOM.US PRO 966,14.99,Software & IT
NOTION TEAM PREMIUM,24.00,Software & IT
FIGMA DESIGN PLUS,15.00,Software & IT
ATLASSIAN JIRA CLOUD,10.00,Software & IT
DOCKER HUB PRO,25.00,Software & IT
CLOUDFLARE PRO DNS,20.00,Software & IT
VERCEL TEAM PRO,20.00,Software & IT
NETLIFY BUSINESS,19.00,Software & IT
AMZN UK MKTP B2B OFFICE,249.99,Office Supplies
UBER BUSINESS TRAVEL,175.30,Travel
GOOGLE CLOUDTRAINING,450.00,Software & IT
FB ENTERPRISE ADS,300.00,Marketing
BRITISH GAS SMART HOME,150.00,Utilities
MSFT TRAINING PLATFORM,199.99,Software & IT
ADOBE CREATIVE CLOUD,52.99,Software & IT
DROPBOX BUSINESS PLUS,20.00,Software & IT
ASANA PREMIUM TEAM,24.99,Software & IT
HUBSPOT CRM PRO,89.00,Software & IT
SHELL OIL 83952749,50.00,Transportation
BP CONNECT,45.75,Transportation
TFL TRAVEL CHARGE,45.00,Transportation
TRAINLINE TICKET,89.99,Travel
BOOKING.COM HOTEL,275.50,Travel
AIRBNB HMBJKLS6P,320.00,Travel
COSTA COFFEE,5.75,Food & Dining
PRET A MANGER,7.25,Food & Dining
SAINSBURYS SACAT 3879,35.67,Food & Dining
TESCO STORES 2898,54.32,Food & Dining
AVIVA INSURANCE,35.75,Insurance
BUPA HEALTH INS,125.00,Insurance
LEGAL & GENERAL,45.00,Insurance
OFFICE DEPOT,75.45,Office Supplies
STAPLES UK,28.99,Office Supplies
IKEA LONDON,150.00,Office Supplies 
